source,source_label,relation,target,target_label,score
course_4,Course,includes,module_44,Module,
module_44,Module,has_lesson,lesson_bai-01-lap-trinh-java-can-ban,Lesson,
module_44,Module,has_lesson,lesson_bai-02-tong-quan-spring-framework,Lesson,
module_44,Module,has_lesson,lesson_bai-03-spring-mvc,Lesson,
module_44,Module,has_lesson,lesson_bai-04-jdbc-va-spring-jdbc,Lesson,
module_44,Module,has_lesson,lesson_bai-05-hibernate-orm,Lesson,
module_44,Module,has_lesson,lesson_bai-06-ung-dung-spring-mvc-+-hibernate-tong-hop-thuc-hanh,Lesson,
module_44,Module,has_quiz,quiz_63,Quiz,
quiz_63,Quiz,has_question,question_42,Question,
quiz_63,Quiz,has_question,question_43,Question,
quiz_63,Quiz,has_question,question_44,Question,
quiz_63,Quiz,has_question,question_45,Question,
quiz_63,Quiz,has_question,question_46,Question,
quiz_63,Quiz,has_question,question_47,Question,
quiz_63,Quiz,has_question,question_48,Question,
quiz_63,Quiz,has_question,question_49,Question,
quiz_63,Quiz,has_question,question_50,Question,
quiz_63,Quiz,has_question,question_51,Question,
quiz_63,Quiz,has_question,question_52,Question,
quiz_63,Quiz,has_question,question_53,Question,
quiz_63,Quiz,has_question,question_54,Question,
quiz_63,Quiz,has_question,question_55,Question,
quiz_63,Quiz,has_question,question_56,Question,
quiz_63,Quiz,has_question,question_57,Question,
quiz_63,Quiz,has_question,question_58,Question,
quiz_63,Quiz,has_question,question_59,Question,
quiz_63,Quiz,has_question,question_60,Question,
quiz_63,Quiz,has_question,question_61,Question,
module_44,Module,has_quiz,quiz_64,Quiz,
quiz_64,Quiz,has_question,question_62,Question,
quiz_64,Quiz,has_question,question_63,Question,
quiz_64,Quiz,has_question,question_64,Question,
quiz_64,Quiz,has_question,question_65,Question,
quiz_64,Quiz,has_question,question_66,Question,
quiz_64,Quiz,has_question,question_67,Question,
quiz_64,Quiz,has_question,question_68,Question,
quiz_64,Quiz,has_question,question_69,Question,
quiz_64,Quiz,has_question,question_70,Question,
quiz_64,Quiz,has_question,question_71,Question,
quiz_64,Quiz,has_question,question_72,Question,
quiz_64,Quiz,has_question,question_73,Question,
quiz_64,Quiz,has_question,question_74,Question,
quiz_64,Quiz,has_question,question_75,Question,
quiz_64,Quiz,has_question,question_76,Question,
quiz_64,Quiz,has_question,question_77,Question,
