entity1,relation,entity2
course_4,includes,module_44
module_44,has_lesson,lesson_bai-01-lap-trinh-java-can-ban
module_44,has_lesson,lesson_bai-02-tong-quan-spring-framework
module_44,has_lesson,lesson_bai-03-spring-mvc
module_44,has_lesson,lesson_bai-04-jdbc-va-spring-jdbc
module_44,has_lesson,lesson_bai-05-hibernate-orm
module_44,has_lesson,lesson_bai-06-ung-dung-spring-mvc-+-hibernate-tong-hop-thuc-hanh
module_44,has_quiz,quiz_63
quiz_63,has_question,question_42
quiz_63,has_question,question_43
quiz_63,has_question,question_44
quiz_63,has_question,question_45
quiz_63,has_question,question_46
quiz_63,has_question,question_47
quiz_63,has_question,question_48
quiz_63,has_question,question_49
quiz_63,has_question,question_50
quiz_63,has_question,question_51
quiz_63,has_question,question_52
quiz_63,has_question,question_53
quiz_63,has_question,question_54
quiz_63,has_question,question_55
quiz_63,has_question,question_56
quiz_63,has_question,question_57
quiz_63,has_question,question_58
quiz_63,has_question,question_59
quiz_63,has_question,question_60
quiz_63,has_question,question_61
module_44,has_quiz,quiz_64
quiz_64,has_question,question_62
quiz_64,has_question,question_63
quiz_64,has_question,question_64
quiz_64,has_question,question_65
quiz_64,has_question,question_66
quiz_64,has_question,question_67
quiz_64,has_question,question_68
quiz_64,has_question,question_69
quiz_64,has_question,question_70
quiz_64,has_question,question_71
quiz_64,has_question,question_72
quiz_64,has_question,question_73
quiz_64,has_question,question_74
quiz_64,has_question,question_75
quiz_64,has_question,question_76
quiz_64,has_question,question_77
quiz_64,has_question,question_78
quiz_64,has_question,question_79
quiz_64,has_question,question_80
quiz_64,has_question,question_81
module_44,has_quiz,quiz_65
quiz_65,has_question,question_82
quiz_65,has_question,question_83
quiz_65,has_question,question_84
quiz_65,has_question,question_85
quiz_65,has_question,question_86
quiz_65,has_question,question_87
quiz_65,has_question,question_88
quiz_65,has_question,question_89
quiz_65,has_question,question_90
quiz_65,has_question,question_91
quiz_65,has_question,question_92
quiz_65,has_question,question_93
quiz_65,has_question,question_94
quiz_65,has_question,question_95
quiz_65,has_question,question_96
quiz_65,has_question,question_97
quiz_65,has_question,question_98
quiz_65,has_question,question_99
quiz_65,has_question,question_100
quiz_65,has_question,question_101
module_44,has_quiz,quiz_66
quiz_66,has_question,question_102
quiz_66,has_question,question_103
quiz_66,has_question,question_104
quiz_66,has_question,question_105
quiz_66,has_question,question_106
quiz_66,has_question,question_107
quiz_66,has_question,question_108
quiz_66,has_question,question_109
quiz_66,has_question,question_110
quiz_66,has_question,question_111
quiz_66,has_question,question_112
quiz_66,has_question,question_113
quiz_66,has_question,question_114
quiz_66,has_question,question_115
quiz_66,has_question,question_116
quiz_66,has_question,question_117
quiz_66,has_question,question_118
quiz_66,has_question,question_119
quiz_66,has_question,question_120
quiz_66,has_question,question_121
module_44,has_quiz,quiz_67
quiz_67,has_question,question_122
quiz_67,has_question,question_123
quiz_67,has_question,question_124
quiz_67,has_question,question_125
quiz_67,has_question,question_126
quiz_67,has_question,question_127
quiz_67,has_question,question_128
quiz_67,has_question,question_129
quiz_67,has_question,question_130
quiz_67,has_question,question_131
quiz_67,has_question,question_132
quiz_67,has_question,question_133
quiz_67,has_question,question_134
quiz_67,has_question,question_135
quiz_67,has_question,question_136
quiz_67,has_question,question_137
quiz_67,has_question,question_138
quiz_67,has_question,question_139
quiz_67,has_question,question_140
quiz_67,has_question,question_141
module_44,has_quiz,quiz_68
quiz_68,has_question,question_142
quiz_68,has_question,question_143
quiz_68,has_question,question_144
quiz_68,has_question,question_145
quiz_68,has_question,question_146
quiz_68,has_question,question_147
quiz_68,has_question,question_148
quiz_68,has_question,question_149
quiz_68,has_question,question_150
quiz_68,has_question,question_151
quiz_68,has_question,question_152
quiz_68,has_question,question_153
quiz_68,has_question,question_154
quiz_68,has_question,question_155
